TIMESTAMP,DATE,MTU START (EEST),Installed Capacity MW,Max Producable MW (Rated),Availability MW,Max Produceable MW (Available),Availability %,Bid Capacity MW,Day Ahead Planned MW,Metered Production MW,Consumption MW,Net Export MW,Imbalance ,% Imbalance,Imbalance Sale MW,Imbalance Purchase MW
2025-11-11 17:45:00,2025-11-11,17:45:00,24.8,24.8,12.4,12.4,0.5,8.3,8.3,10.968,0.0,10.968,SURPLUS,0.32144578313253,2.668,0.0
2025-11-11 18:00:00,2025-11-11,18:00:00,24.8,24.8,12.4,12.4,0.5,8.4,8.4,10.36,0.0,10.36,SURPLUS,0.2333333333333332,1.96,0.0
2025-11-11 18:15:00,2025-11-11,18:15:00,24.8,24.8,12.4,12.4,0.5,8.5,8.5,12.04,0.0,12.04,SURPLUS,0.416470588235294,3.54,0.0
2025-11-11 18:30:00,2025-11-11,18:30:00,24.8,24.8,12.4,12.4,0.5,8.6,8.6,12.784,0.0,12.784,SURPLUS,0.4865116279069769,4.184,0.0
2025-11-11 18:45:00,2025-11-11,18:45:00,24.8,24.8,12.4,12.4,0.5,8.7,8.7,14.024,0.0,14.024,SURPLUS,0.6119540229885058,5.324,0.0
2025-11-11 19:00:00,2025-11-11,19:00:00,24.8,24.8,18.6,18.6,0.75,8.8,8.8,15.852,0.0,15.852,SURPLUS,0.8013636363636363,7.052,0.0
2025-11-11 19:15:00,2025-11-11,19:15:00,24.8,24.8,18.6,18.6,0.75,8.9,8.9,15.62,0.0,15.62,SURPLUS,0.7550561797752807,6.72,0.0
2025-11-11 19:30:00,2025-11-11,19:30:00,24.8,24.8,18.6,18.6,0.75,9.0,9.0,15.508,0.0,15.508,SURPLUS,0.723111111111111,6.508,0.0
2025-11-11 19:45:00,2025-11-11,19:45:00,24.8,24.8,18.6,18.6,0.75,9.1,9.1,15.14,0.0,15.14,SURPLUS,0.6637362637362638,6.04,0.0
2025-11-11 20:00:00,2025-11-11,20:00:00,24.8,24.8,18.6,18.6,0.75,9.2,9.2,15.536,0.0,15.536,SURPLUS,0.6886956521739132,6.336,0.0
